namekey;imageurl;person;personLabel;personDescription;wikipediaENurl
http://www.wikidata.org/entity/Q28927465;https://commons.wikimedia.org/wiki/Special:Redirect/file/Deron_shooting.jpg?width=1024;http://www.wikidata.org/entity/Q116699;Deron Washington;American basketball player;https://en.wikipedia.org/wiki/Deron_Washington
http://www.wikidata.org/entity/Q19968409;https://commons.wikimedia.org/wiki/Special:Redirect/file/Celtic-20240722-070_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q116820818;Tobi Oluwayemi;English footballer (born 2003);https://en.wikipedia.org/wiki/Tobi_Oluwayemi
http://www.wikidata.org/entity/Q43536241;https://commons.wikimedia.org/wiki/Special:Redirect/file/Hebe_de_Bonafini_2015_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q11682364;Hebe de Bonafini;Argentine human rights activist;https://en.wikipedia.org/wiki/Hebe_de_Bonafini
http://www.wikidata.org/entity/Q61954629;https://commons.wikimedia.org/wiki/Special:Redirect/file/Rep._Brian_Biggs.jpg?width=1024;http://www.wikidata.org/entity/Q116971912;Brian Biggs;American politician from North Carolina;https://en.wikipedia.org/wiki/Brian_Biggs_(politician)
http://www.wikidata.org/entity/Q4777725;https://commons.wikimedia.org/wiki/Special:Redirect/file/Lowcost_Cosplay_Naruto.png?width=1024;http://www.wikidata.org/entity/Q116973098;Lowcost Cosplay;Thai cosplayer and social media personality;https://en.wikipedia.org/wiki/Lowcost_Cosplay
http://www.wikidata.org/entity/Q2294971;https://commons.wikimedia.org/wiki/Special:Redirect/file/Constant_Fornerod.gif?width=1024;http://www.wikidata.org/entity/Q116978;Constant Fornerod;member of the Swiss Federal Council (1819-1899);https://en.wikipedia.org/wiki/Constant_Fornerod
http://www.wikidata.org/entity/Q29171440;https://commons.wikimedia.org/wiki/Special:Redirect/file/Telly_Tuita_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q117087221;Telly Tuita;Australian interdisciplinary artist;https://en.wikipedia.org/wiki/Telly_Tuita
http://www.wikidata.org/entity/Q93902579;https://commons.wikimedia.org/wiki/Special:Redirect/file/DashMihok.jpg?width=1024;http://www.wikidata.org/entity/Q1171858;Dash Mihok;American actor;https://en.wikipedia.org/wiki/Dash_Mihok
http://www.wikidata.org/entity/Q3481045;https://commons.wikimedia.org/wiki/Special:Redirect/file/Seynabou_Mbengue_by_Frank_Haug.JPG?width=1024;http://www.wikidata.org/entity/Q117213698;Sayna Mbengue;Spanish handball player;https://en.wikipedia.org/wiki/Sayna_Mbengue
http://www.wikidata.org/entity/Q27342716;https://commons.wikimedia.org/wiki/Special:Redirect/file/Hyungyeom_Kim_2024_Worlds_Free_Skate_3.jpg?width=1024;http://www.wikidata.org/entity/Q117305687;Kim Hyun-gyeom;South Korean figure skater;https://en.wikipedia.org/wiki/Kim_Hyun-gyeom
http://www.wikidata.org/entity/Q107636943;https://commons.wikimedia.org/wiki/Special:Redirect/file/Lynwood_Arnold.jpg?width=1024;http://www.wikidata.org/entity/Q117324475;Lynwood Arnold;American politician (1916-2001);https://en.wikipedia.org/wiki/Lynwood_Arnold
http://www.wikidata.org/entity/Q93772475;https://commons.wikimedia.org/wiki/Special:Redirect/file/David_Graeber_2015-03-07_%2816741093492%29_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q1174579;David Graeber;American anthropologist and anarchist (1961-2020);https://en.wikipedia.org/wiki/David_Graeber
http://www.wikidata.org/entity/Q122376135;https://commons.wikimedia.org/wiki/Special:Redirect/file/Suyash_Sharma.png?width=1024;http://www.wikidata.org/entity/Q117459488;Suyash Sharma;Indian cricketer;https://en.wikipedia.org/wiki/Suyash_Sharma
http://www.wikidata.org/entity/Q91362400;https://commons.wikimedia.org/wiki/Special:Redirect/file/DavidNewRes.jpg?width=1024;http://www.wikidata.org/entity/Q1175076;David L. Paterson;American screenwriter;https://en.wikipedia.org/wiki/David_L._Paterson
http://www.wikidata.org/entity/Q117664299;https://commons.wikimedia.org/wiki/Special:Redirect/file/Leigha_Brown_%2852757875854%29_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q117536779;Leigha Brown;American basketball player;https://en.wikipedia.org/wiki/Leigha_Brown
